record_type,timeframe,resolution,suite,symbol,period_from,period_to,n_bars,n_trades,win_rate_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,total_return_pct,cagr_pct,expectancy,profit_factor,entry_date,exit_date,side,entry_price,exit_price,pnl,commission,net_pnl,p_up,p_down,confidence,mcmc_ms
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251107,20251107,SELL,1854.61,1855.81,-1.2,0.0,-1.2,0.0,0.00019179637155624144,0.9963334297914903,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251107,20251107,SELL,1855.93,1851.0,4.93,0.0,4.93,0.0,0.0009103189469388099,0.9922422796849192,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251107,20251107,SELL,1850.71,1849.86,0.85,0.0,0.85,0.0,0.000586055816960767,0.9973714226530467,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251107,20251107,SELL,1849.87,1853.82,-3.95,0.0,-3.95,0.0,0.0009488771260367231,0.9973418857827593,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251107,20251107,SELL,1854.1,1856.5,-2.4,0.0,-2.4,0.0,0.0013517810430080132,0.9816104344333232,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251107,20251107,SELL,1856.28,1853.79,2.49,0.0,2.49,0.0,0.0018598422405332786,0.9941638511147095,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251107,20251107,SELL,1848.25,1848.25,-0.0,0.0,-0.0,0.0,0.000880334759095077,0.9973679890078442,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251107,20251107,SELL,1848.36,1848.85,-0.49,0.0,-0.49,0.0,0.00010889165073564367,0.9976613719168743,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251107,20251107,BUY,1849.85,1851.66,1.81,0.0,1.81,0.0,0.0,1.0,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251107,20251107,SELL,1841.24,1828.18,13.06,0.0,13.06,0.0,0.00029903602368727434,0.913606401173814,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251107,20251107,SELL,1828.47,1824.09,4.38,0.0,4.38,0.0,3.014012189050654e-06,0.9988648607367344,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251107,20251107,SELL,1828.07,1824.71,3.36,0.0,3.36,0.0,0.00039223808053353237,0.9980892460480787,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251110,20251110,BUY,1826.61,1824.29,-2.32,0.0,-2.32,2.9792840332473114e-34,0.0,0.9997091944855411,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251110,20251110,SELL,1824.76,1825.86,-1.1,0.0,-1.1,0.0,0.0014026998376667804,0.8718739594152444,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251110,20251110,SELL,1825.49,1822.13,3.36,0.0,3.36,0.0,0.0017233133414697635,0.9893114120943975,0.0
