record_type,timeframe,resolution,suite,symbol,period_from,period_to,n_bars,n_trades,win_rate_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,total_return_pct,cagr_pct,expectancy,profit_factor,entry_date,exit_date,side,entry_price,exit_price,pnl,commission,net_pnl,p_up,p_down,confidence,mcmc_ms
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260225,20260225,SELL,2052.4,2049.01,3.39,0.0,3.39,0.0,0.001101957001829075,0.9986326177934617,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260225,20260225,SELL,2050.2,2049.64,0.56,0.0,0.56,0.0,0.9996355627418292,0.9996355627418292,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260226,20260226,BUY,2052.53,2056.7,4.17,0.0,4.17,0.9998540779869522,0.0,0.9998540779869522,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260226,20260226,SELL,2060.88,2062.33,-1.45,0.0,-1.45,0.0,0.899992215699979,0.899992215699979,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260226,20260226,SELL,2062.48,2058.59,3.89,0.0,3.89,0.0,0.9905853450857006,0.9905853450857006,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260226,20260226,SELL,2058.19,2056.69,1.5,0.0,1.5,0.0,0.0002776592154810866,0.9991249108863244,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260226,20260226,SELL,2056.61,2056.08,0.53,0.0,0.53,0.0,0.0004557963351630891,0.9994912269177507,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260226,20260226,SELL,2056.09,2052.48,3.61,0.0,3.61,0.0,0.001009432803201262,0.99896438004842,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260226,20260226,SELL,2052.48,2054.04,-1.56,0.0,-1.56,0.0,0.0001742862451063627,0.9997709175691265,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260226,20260226,SELL,2058.7,2058.7,-0.0,0.0,-0.0,0.0,0.001159491707403749,0.9988251346060606,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260226,20260226,SELL,2058.22,2055.94,2.28,0.0,2.28,0.0,0.0017305743038584496,0.9982444096490233,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260226,20260226,BUY,2055.92,2054.04,-1.88,0.0,-1.88,0.0,0.0,1.0,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260226,20260226,SELL,2065.24,2070.14,-4.9,0.0,-4.9,0.0,0.0015578824506250761,0.9106174845923929,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260226,20260226,SELL,2070.6,2063.34,7.26,0.0,7.26,0.0,0.000213117853640893,0.9244147776188143,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260226,20260226,SELL,2071.34,2069.82,1.52,0.0,1.52,0.0,1.0729877974054063e-06,0.9980035385217706,0.0
